23010,Match 11,226,Westpac Stadium,Wellington,New Zealand,1454120160000.0,1454120160000.0,"Sat 30 Jan 2016, 15:16 GMT+13:00",0,2408,Argentina 7s,ARG,2423,Japan 7s,JPN,31,14,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23010.0,""description"":""Match 11"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454120160000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 15:16 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2408.0,""name"":""Argentina 7s"",""abbreviation"":""ARG""},{""id"":2423.0,""name"":""Japan 7s"",""abbreviation"":""JPN""}],""scores"":[31.0,14.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23011,Match 12,226,Westpac Stadium,Wellington,New Zealand,1454121480000.0,1454121480000.0,"Sat 30 Jan 2016, 15:38 GMT+13:00",0,2413,Fiji 7s,FIJ,3921,Wales 7s,WAL,33,7,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23011.0,""description"":""Match 12"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454121480000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 15:38 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2413.0,""name"":""Fiji 7s"",""abbreviation"":""FIJ""},{""id"":3921.0,""name"":""Wales 7s"",""abbreviation"":""WAL""}],""scores"":[33.0,7.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23012,Match 13,226,Westpac Stadium,Wellington,New Zealand,1454122800000.0,1454122800000.0,"Sat 30 Jan 2016, 16:00 GMT+13:00",0,2415,Kenya 7s,KEN,3910,Portugal 7s,POR,26,5,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23012.0,""description"":""Match 13"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454122800000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 16:00 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2415.0,""name"":""Kenya 7s"",""abbreviation"":""KEN""},{""id"":3910.0,""name"":""Portugal 7s"",""abbreviation"":""POR""}],""scores"":[26.0,5.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23013,Match 14,226,Westpac Stadium,Wellington,New Zealand,1454124120000.0,1454124120000.0,"Sat 30 Jan 2016, 16:22 GMT+13:00",0,2409,Australia 7s,AUS,2410,Canada 7s,CAN,26,22,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23013.0,""description"":""Match 14"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454124120000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 16:22 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2409.0,""name"":""Australia 7s"",""abbreviation"":""AUS""},{""id"":2410.0,""name"":""Canada 7s"",""abbreviation"":""CAN""}],""scores"":[26.0,22.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23014,Match 15,226,Westpac Stadium,Wellington,New Zealand,1454125440000.0,1454125440000.0,"Sat 30 Jan 2016, 16:44 GMT+13:00",0,2420,South Africa 7s,RSA,3911,Russia 7s,RUS,54,0,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23014.0,""description"":""Match 15"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454125440000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 16:44 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2420.0,""name"":""South Africa 7s"",""abbreviation"":""RSA""},{""id"":3911.0,""name"":""Russia 7s"",""abbreviation"":""RUS""}],""scores"":[54.0,0.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23015,Match 16,226,Westpac Stadium,Wellington,New Zealand,1454126760000.0,1454126760000.0,"Sat 30 Jan 2016, 17:06 GMT+13:00",0,2416,New Zealand 7s,NZL,2419,Scotland 7s,SCO,27,7,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23015.0,""description"":""Match 16"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454126760000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 17:06 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2416.0,""name"":""New Zealand 7s"",""abbreviation"":""NZL""},{""id"":2419.0,""name"":""Scotland 7s"",""abbreviation"":""SCO""}],""scores"":[27.0,7.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23016,Match 17,226,Westpac Stadium,Wellington,New Zealand,1454128080000.0,1454128080000.0,"Sat 30 Jan 2016, 17:28 GMT+13:00",0,2412,England 7s,ENG,2418,Samoa 7s,SAM,14,17,C,B,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23016.0,""description"":""Match 17"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454128080000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 17:28 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2412.0,""name"":""England 7s"",""abbreviation"":""ENG""},{""id"":2418.0,""name"":""Samoa 7s"",""abbreviation"":""SAM""}],""scores"":[14.0,17.0],""status"":""C"",""outcome"":""B"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23017,Match 18,226,Westpac Stadium,Wellington,New Zealand,1454129640000.0,1454129640000.0,"Sat 30 Jan 2016, 17:54 GMT+13:00",0,2414,France 7s,FRA,2422,USA 7s,USA,21,29,C,B,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23017.0,""description"":""Match 18"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454129640000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 17:54 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2414.0,""name"":""France 7s"",""abbreviation"":""FRA""},{""id"":2422.0,""name"":""USA 7s"",""abbreviation"":""USA""}],""scores"":[21.0,29.0],""status"":""C"",""outcome"":""B"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23018,Match 19,226,Westpac Stadium,Wellington,New Zealand,1454131200000.0,1454131200000.0,"Sat 30 Jan 2016, 18:20 GMT+13:00",0,3921,Wales 7s,WAL,2423,Japan 7s,JPN,33,28,C,A,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23018.0,""description"":""Match 19"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454131200000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 18:20 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":3921.0,""name"":""Wales 7s"",""abbreviation"":""WAL""},{""id"":2423.0,""name"":""Japan 7s"",""abbreviation"":""JPN""}],""scores"":[33.0,28.0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
23019,Match 20,226,Westpac Stadium,Wellington,New Zealand,1454132760000.0,1454132760000.0,"Sat 30 Jan 2016, 18:46 GMT+13:00",0,2408,Argentina 7s,ARG,2413,Fiji 7s,FIJ,10,31,C,B,1613,2015/16 HSBC World Rugby Sevens Series - Wellington,mrs,1454112000000.0,2016-01-30,1454284799000.0,2016-01-31,"{""matchId"":23019.0,""description"":""Match 20"",""eventPhase"":""Pool"",""venue"":{""id"":226.0,""name"":""Westpac Stadium"",""city"":""Wellington"",""country"":""New Zealand""},""time"":{""millis"":1454132760000.0,""gmtOffset"":13.0,""label"":""Sat 30 Jan 2016, 18:46 GMT+13:00""},""attendance"":0.0,""teams"":[{""id"":2408.0,""name"":""Argentina 7s"",""abbreviation"":""ARG""},{""id"":2413.0,""name"":""Fiji 7s"",""abbreviation"":""FIJ""}],""scores"":[10.0,31.0],""status"":""C"",""outcome"":""B"",""events"":[{""id"":1613.0,""label"":""2015/16 HSBC World Rugby Sevens Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1454112000000.0,""gmtOffset"":0.0,""label"":""2016-01-30""},""end"":{""millis"":1454284799000.0,""gmtOffset"":0.0,""label"":""2016-01-31""},""rankingsWeight"":1.0,""abbr"":""Wellington""}]}"
